title,subhead,article URL,premium,byline,article type,image URL
"LiveArticle se déroulant en directL’armée israélienne dit avoir « démantelé » par ses frappes la base militaire de Tabriz, dans le nord-ouest de l’Iran, le secrétaire général de l’ONU appelle à cesser « l’escalade »","Israël a poursuivi ses frappes dans la nuit de vendredi à samedi, tandis que l’Iran a tiré une nouvelle salve de missiles sur l’Etat hébreu. « Bombardements israéliens sur des sites nucléaires iraniens. Frappes de missiles iraniens sur Tel-Aviv. Assez de l’escalade, il est temps que ça cesse. La paix et la diplomatie doivent l’emporter », a exhorté Antonio Gutteres.",https://www.lemonde.fr/international/live/2025/06/13/en-direct-les-frappes-israeliennes-en-iran-ont-fait-78-morts-et-plus-de-320-blesses-selon-l-ambassadeur-iranien-a-l-onu-34-blesses-en-israel-par-les-tirs-de-missiles-iraniens-selon-les-services-de-secours_6612642_3210.html,Premium,N/A,N/A,https://img.lemde.fr/2025/06/13/0/0/4984/3323/600/400/75/0/5d19bd8_ftp-import-images-1-9rysa3iwv7tp-2025-06-13t215631z-38368305-rc2x1fatmahg-rtrmadp-3-iran-nuclear.JPG
"A Nogent, une foule pour la marche blanche en hommage à la surveillante tuée par un collégien","Dans ce village encore sonné par le meurtre de Mélanie G. par un collégien de 14 ans, plus de 1 500 personnes se sont rassemblées. Les obsèques auront lieu mardi, dans la stricte intimité familiale.",https://www.lemonde.fr/societe/article/2025/06/13/a-nogent-une-foule-pour-la-marche-blanche-en-hommage-a-la-surveillante-tuee-par-un-collegien_6612785_3224.html,not Premium,N/A,N/A,N/A
"En Espagne, l’étau judiciaire se referme autour du noyau dur qui a permis l’accession au pouvoir de Pedro Sanchez","Depuis deux ans, plusieurs proches du président socialiste du gouvernement font l’objet d’enquêtes portant sur des soupçons de pots-de-vin. Jeudi, M. Sanchez a dû exiger la démission de l’homme clé de l’appareil du parti socialiste, Santos Cerdan.",https://www.lemonde.fr/international/article/2025/06/13/en-espagne-l-etau-judiciaire-se-referme-autour-du-noyau-dur-qui-a-permis-l-accession-au-pouvoir-de-pedro-sanchez_6612788_3210.html,Premium,N/A,N/A,N/A
"La Coupe du monde des clubs, un tournoi aux allures de test pour Donald Trump","Les Etats-Unis accueillent, à partir de samedi, le tournoi de football que le président considère comme une répétition générale avant le Mondial 2026 et les Jeux olympiques de 2028, organisés dans son pays.",https://www.lemonde.fr/sport/article/2025/06/13/la-coupe-du-monde-des-clubs-un-tournoi-aux-allures-de-test-pour-donald-trump_6612787_3242.html,Premium,N/A,N/A,N/A
Plongée dans l’enfer de la prison de Fresnes : « On est encore dans les années 1800 »,"Nous sommes entrés dans cette maison d’arrêt du Val-de-Marne, une des plus vieilles de France. Insalubrité, surpopulation, infestation de rats ou de punaises de lit… Les conditions d’incarcération des détenus, et de travail des surveillants, ont valu à l’Etat plusieurs condamnations, mais la rénovation attend toujours.",https://www.lemonde.fr/m-le-mag/article/2025/06/13/plongee-dans-l-enfer-de-la-prison-de-fresnes-on-est-encore-dans-les-annees-1800_6612660_4500055.html,Premium,Olivier Faye,Reportage,N/A
Guerre en Ukraine : les dernières informations,N/A,https://www.lemonde.fr/international/live/2025/06/14/en-direct-guerre-en-ukraine-les-dernieres-informations_6611146_3210.html,not Premium,N/A,N/A,N/A
Viol à caractère antisémite sur une fille de 12 ans à Courbevoie : deux mineurs condamnés à neuf et sept ans de prison,N/A,https://www.lemonde.fr/societe/article/2025/06/14/viol-a-caractere-antisemite-sur-une-fille-de-12-ans-a-courbevoie-deux-mineurs-condamnes-a-neuf-et-sept-ans-de-prison_6612793_3224.html,not Premium,N/A,N/A,N/A
Manifestations à Los Angeles : les premiers marines déployés pour protéger un bâtiment fédéral,N/A,https://www.lemonde.fr/international/article/2025/06/13/manifestations-a-los-angeles-les-premiers-marines-deployes-pour-proteger-un-batiment-federal_6612791_3210.html,not Premium,N/A,N/A,N/A
"Mahmoud Khalil, le militant propalestinien de l’université Columbia, peut rester en détention, estime finalement un juge fédéral",N/A,https://www.lemonde.fr/international/article/2025/06/14/l-administration-trump-refuse-de-liberer-mahmoud-khalil-le-militant-propalestinien-de-l-universite-columbia-malgre-une-decision-de-justice_6612794_3210.html,not Premium,N/A,N/A,N/A
"L’ex-footballeur David Beckham, le chanteur des Who, Roger Daltrey, et l’acteur Gary Oldman anoblis par Charles III",N/A,https://www.lemonde.fr/international/article/2025/06/14/l-ex-footballeur-david-beckham-le-chanteur-des-who-roger-daltrey-et-l-acteur-gary-oldman-anoblis-par-charles-iii_6612827_3210.html,not Premium,N/A,N/A,N/A
